,home_team,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_Possession %_moving,home_Total Shots_moving,home_On Target_moving,home_Off Target_moving,home_Blocked_moving,home_Passing %_moving,home_Clear-Cut Chances_moving,home_Corners_moving,home_Offsides_moving,home_Tackles %_moving,home_Aerial Duels %_moving,home_Saves_moving,home_Fouls Committed_moving,home_Fouls Won_moving,home_Yellow Cards_moving,home_Red Cards_moving,home_goals_moving,home_goal_difference_moving,away_Possession %_moving,away_Total Shots_moving,away_On Target_moving,away_Off Target_moving,away_Blocked_moving,away_Passing %_moving,away_Clear-Cut Chances_moving,away_Corners_moving,away_Offsides_moving,away_Tackles %_moving,away_Aerial Duels %_moving,away_Saves_moving,away_Fouls Committed_moving,away_Fouls Won_moving,away_Yellow Cards_moving,away_Red Cards_moving,away_goals_moving,away_goal_difference_moving
641,2,45.82525691699604,13.365415019762846,5.337747035573123,4.837351778656126,3.1903162055335974,71.25260869565219,1.5664031620553363,4.95494071146245,1.9954545454545456,73.43300395256917,51.26067193675888,2.936166007905139,15.3903162055336,15.204347826086956,1.8881422924901186,0.026482213438735178,17,50.51509178743961,12.120000000000001,4.480772946859903,5.035748792270532,2.603478260869565,77.76548792270532,1.2794202898550726,4.64328502415459,2.81487922705314,72.18266666666668,51.60535265700483,3.360386473429952,15.359227053140097,13.46048309178744,1.9418357487922708,0.05256038647342995,82,76,76,78,77,77,76,79,82,74,76,65,83,78,81,80,72,79,77,76,73,79,53.28000000000001,12.0,5.0,5.0,2.0,80.88000000000005,2.4,4.8,1.0,65.46000000000001,50.559999999999995,4.6,16.4,10.6,1.0,0.0,2.6,1.6,38.87999999999998,9.8,3.8,4.2,1.8,75.22,1.6,4.8,2.8,61.31999999999997,52.81999999999997,3.0,16.6,13.0,3.0,0.0,2.2,0.6
642,18,45.77823529411765,12.041176470588237,4.300000000000001,5.105882352941176,2.6352941176470592,72.83176470588235,1.5705882352941178,5.53529411764706,1.9823529411764707,74.5535294117647,47.16588235294119,3.7,14.164705882352942,13.682352941176472,1.5529411764705883,0.13529411764705884,6,47.872103386809265,12.09126559714795,4.379857397504456,4.918538324420678,2.7928698752228165,73.82477718360072,1.151336898395722,4.712121212121213,2.016221033868093,78.88169340463458,53.351871657754,4.046167557932264,15.684670231729056,13.991265597147951,2.038146167557932,0.06024955436720143,79,74,78,80,74,76,63,78,78,78,81,74,73,65,75,76,77,76,71,70,77,72,40.13999999999999,12.4,4.2,4.8,3.4,71.10000000000007,1.6,5.8,3.2,63.5,58.780000000000015,4.0,13.8,10.8,1.8,0.2,1.2,0.6,38.900000000000006,10.6,3.4,5.6,1.6,73.73999999999998,1.0,4.0,2.0,57.799999999999976,48.70000000000003,5.4,9.2,11.2,2.0,0.2,0.8,-1.4
643,11,53.04261099365752,14.505919661733618,5.277484143763214,6.258985200845666,2.969450317124736,79.30792811839324,1.668076109936575,5.141860465116279,1.7953488372093025,75.05337209302326,52.72623678646936,3.1165961945031713,13.303382663847781,14.110042283298098,1.6341437632135307,0.12526427061310783,2,45.05972332015809,11.983399209486166,4.590118577075099,4.805928853754941,2.5873517786561266,71.47565217391306,1.2438735177865614,4.102371541501976,1.981818181818182,74.6798418972332,50.67312252964427,3.8533596837944666,15.387351778656129,13.92608695652174,2.074308300395257,0.04071146245059289,82,77,75,80,78,79,74,78,75,76,77,82,76,76,78,77,76,77,79,82,66,76,57.8,15.4,7.4,4.4,3.6,80.50000000000001,3.4,7.8,2.0,67.70000000000002,46.72000000000002,3.2,10.2,10.4,0.8,0.0,3.8,2.8,39.32,11.0,5.2,3.0,2.8,74.57999999999997,1.0,4.0,1.0,53.80000000000001,45.44000000000001,2.8,11.2,10.0,2.2,0.2,1.2,-0.2
644,19,53.00237843551799,14.805391120507402,5.59862579281184,5.915750528541227,3.2910147991543344,75.45309725158562,1.66723044397463,5.538689217758986,2.53784355179704,76.03969344608879,50.279154334038054,2.739957716701903,14.734143763213531,13.611416490486258,1.5394291754756873,0.16247357293868922,10,45.73573055028463,10.836432637571157,3.8582542694497155,3.898481973434535,3.0796963946869074,71.32855787476282,0.9823529411764707,3.879506641366224,1.5259962049335865,74.48258064516128,45.96111954459204,3.8203036053130934,13.744781783681214,13.108159392789375,1.5223908918406073,0.0633776091081594,84,78,83,81,76,81,78,82,79,81,82,77,70,67,77,75,74,73,71,77,69,79,70.76,16.0,6.0,7.4,2.6,87.05999999999997,2.0,6.4,1.2,60.000000000000036,48.720000000000006,1.2,9.0,10.6,1.4,0.0,2.4,0.6,49.77999999999998,11.0,4.2,4.0,2.8,80.84,0.6,4.6,1.2,73.27999999999999,46.32,2.0,11.4,15.2,2.8,0.0,0.6,-2.0
645,5,50.505066798614564,12.228005937654627,4.354082137555666,5.025828797624937,2.8480950024740226,73.17241959426028,1.592577931716972,5.127857496288966,2.837209302325582,78.3275309252845,47.13215239980208,3.012568035625928,16.08174171202375,15.324492825333994,2.530925284512618,0.0913409203364671,12,51.10882828282829,13.113535353535354,4.802323232323232,5.1574747474747475,3.153737373737374,77.02636363636364,1.0425252525252526,4.21989898989899,2.268686868686869,76.27254545454547,49.231181818181824,3.5394949494949497,15.781515151515151,15.219090909090909,2.0211111111111113,0.07111111111111111,74,73,77,64,75,77,78,60,73,78,79,83,73,76,67,74,78,80,78,69,82,76,52.97999999999996,15.4,4.0,7.0,4.4,71.77999999999997,2.4,6.4,2.4,56.339999999999996,52.39999999999996,2.8,12.6,13.2,0.8,0.2,1.0,0.0,55.86,19.2,7.8,6.6,4.8,83.53999999999996,3.8,5.0,1.8,69.76000000000006,50.06000000000001,2.8,13.8,11.6,2.4,0.2,2.8,1.0
646,1,47.62653535353535,9.909191919191919,3.582525252525253,3.9098989898989904,2.416767676767677,75.0188686868687,1.0975757575757576,3.8863636363636367,1.9917171717171718,74.77191919191918,49.81607070707071,2.882525252525253,14.754040404040405,14.647070707070709,1.7333333333333334,0.07151515151515152,8,45.725176946410514,11.507381193124369,4.270576339737109,4.736299292214358,2.5005055611729023,71.34107178968658,1.0732052578361984,4.300910010111224,2.669160768452983,73.86786653185037,48.588048533872595,3.3290192113245705,15.243882709807886,14.02891809908999,1.6287158746208292,0.12295247724974723,82,78,76,70,77,72,78,68,73,79,77,67,74,76,72,74,57,79,77,74,73,72,50.79999999999997,11.6,4.0,5.0,2.6,79.92000000000003,1.0,3.4,3.0,70.11999999999998,48.340000000000046,3.8,13.4,11.4,1.8,0.4,1.4,-0.8,43.09999999999999,15.2,4.6,6.2,4.4,76.04,2.2,5.4,2.0,48.49999999999998,58.799999999999976,3.4,11.2,9.6,0.8,0.0,0.8,-1.6
647,17,50.632106280193234,13.98,4.553526570048309,5.9256038647343,3.5008695652173913,77.83803864734298,1.2698550724637683,4.877487922705314,2.520386473429952,71.98066666666666,50.64967149758454,3.006763285024155,14.80647342995169,13.798454106280193,1.7021256038647345,0.07980676328502416,14,49.531774999999996,11.9905,4.3425,4.862500000000001,2.7855000000000003,74.5334,1.30625,4.503000000000001,2.26325,75.07387499999996,49.662450000000014,3.341,14.667250000000001,13.63875,1.8757500000000003,0.0765,65,83,81,81,80,78,79,66,80,79,78,73,68,75,73,73,72,73,69,71,70,70,43.480000000000004,12.8,3.6,5.6,3.6,74.48000000000005,1.6,4.6,1.4,62.73999999999999,44.93999999999998,3.8,12.0,10.6,1.4,0.2,0.6,-1.0,45.2,14.2,5.2,6.6,2.4,80.76,2.0,5.2,2.0,62.8,53.05999999999999,2.4,11.4,13.2,1.6,0.2,1.6,-1.0
648,21,47.32245059288538,12.624901185770751,4.309881422924901,5.458893280632411,2.8561264822134387,73.62521739130435,1.2944664031620554,3.999209486166008,2.4130434782608696,75.02490118577074,50.57268774703558,3.4932806324110675,15.11501976284585,13.662845849802373,1.94901185770751,0.108300395256917,4,58.76368992248062,14.34201550387597,5.117002583979328,5.684857881136952,3.54015503875969,79.77772609819121,2.0625322997416022,5.152248062015504,2.748423772609819,76.28820671834626,49.78642894056848,2.5775710594315244,12.654780361757107,13.055503875968995,1.6159173126614987,0.023049095607235143,69,74,70,73,75,79,73,79,79,78,79,81,75,78,69,78,82,79,72,85,80,82,43.90000000000004,13.2,5.6,5.6,2.0,76.33999999999997,1.4,3.8,2.6,61.14000000000003,49.61999999999997,3.6,12.0,7.8,0.6,0.0,2.6,0.0,54.89999999999996,14.2,5.2,4.8,4.2,85.86000000000006,2.4,4.8,2.0,67.16,48.81999999999998,2.2,7.4,11.2,1.4,0.0,2.2,0.4
649,23,55.539434782608694,14.547391304347828,5.664782608695653,5.8386956521739135,3.0439130434782613,77.66373913043478,1.5917391304347828,5.392608695652174,2.970434782608696,74.67073913043478,54.753521739130434,2.4178260869565222,13.85217391304348,14.170000000000002,1.3143478260869565,0.09956521739130435,12,51.10882828282829,13.113535353535354,4.802323232323232,5.1574747474747475,3.153737373737374,77.02636363636364,1.0425252525252526,4.21989898989899,2.268686868686869,76.27254545454547,49.231181818181824,3.5394949494949497,15.781515151515151,15.219090909090909,2.0211111111111113,0.07111111111111111,79,73,75,79,75,81,79,75,78,77,81,83,79,73,67,78,80,76,78,69,82,76,50.459999999999994,16.6,6.0,7.0,3.6,77.88000000000005,3.6,5.6,3.0,60.820000000000014,50.080000000000005,3.2,12.8,10.0,1.2,0.0,1.8,1.6,57.18000000000001,19.4,7.8,7.8,3.8,82.95999999999997,3.8,4.6,2.0,72.20000000000006,48.040000000000006,2.6,15.0,9.8,2.2,0.2,2.8,1.2
650,6,48.27023172905526,12.728698752228166,4.337611408199644,5.310516934046347,3.0805704099821747,72.99001782531195,1.0598930481283422,5.303030303030304,2.246702317290553,78.83586452762924,54.54385026737968,3.548306595365419,15.193226381461676,14.328698752228165,1.7889483065953655,0.05918003565062389,5,48.62452251360713,10.103513112320634,3.565264720435428,4.082038594755072,2.4562097971301338,72.5215932706581,1.0086095992083128,3.9156853043048,2.3488372093023258,78.28246412666998,46.74350321622959,3.369421078673924,15.49717961405245,14.191588322612567,2.4641266699653634,0.11004453240969816,74,77,65,75,76,74,76,75,70,77,70,74,73,77,64,75,77,78,60,79,78,75,48.059999999999995,13.0,4.4,4.2,4.4,74.08,1.6,5.2,1.6,59.65999999999999,48.779999999999994,3.2,13.6,13.6,1.2,0.0,1.2,0.2,43.36000000000003,11.0,3.6,4.2,3.2,69.92,1.4,4.8,1.6,63.34000000000001,52.84000000000002,4.8,12.2,9.0,2.2,0.0,1.6,-1.0
651,4,59.205922480620146,16.135503875968993,6.0959173126614985,6.204547803617572,3.8350387596899225,80.35276485788114,2.598966408268734,5.888062015503877,2.9704392764857883,73.38538501291991,52.87827390180879,2.0777260981912145,12.247028423772612,12.663875968992249,1.3706459948320415,0.022428940568475452,19,52.24207188160676,14.082029598308669,5.3712473572938695,5.314164904862579,3.39661733615222,75.3263424947146,1.5758985200845665,5.271035940803383,2.407188160676533,76.88435517970403,50.65615221987315,2.866807610993658,15.052854122621564,13.561945031712472,1.9019027484143765,0.09175475687103593,81,75,78,69,78,80,82,72,82,78,60,84,78,83,81,76,81,78,82,79,81,82,63.9,12.8,5.4,3.8,3.6,87.54000000000005,2.4,4.2,1.0,63.799999999999955,45.51999999999997,2.4,10.6,11.8,0.8,0.4,2.4,0.8,66.38,15.6,5.8,6.8,3.0,84.41999999999996,3.4,5.0,3.0,57.80000000000005,55.25999999999999,2.6,11.0,11.2,0.8,0.0,2.8,1.2
652,22,69.92166160081054,19.06626139817629,7.889766970618036,7.331306990881459,3.8451874366767984,87.80575481256334,2.52887537993921,7.218642350557244,2.6520770010131716,75.5431205673759,51.069118541033426,2.2433637284701113,10.902532928064844,11.934346504559272,1.03242147922999,0.04235055724417427,1,45.55947474747475,8.903434343434345,3.1967676767676774,3.7729292929292932,1.9337373737373738,73.68880808080809,0.9903030303030304,3.545454545454546,2.10020202020202,74.85434343434342,48.9909494949495,3.396767676767677,14.682828282828282,13.854949494949498,1.9333333333333336,0.08606060606060607,90,85,84,86,85,88,84,83,82,90,85,82,78,76,79,77,72,78,68,73,77,79,65.68,23.8,10.8,9.4,3.6,88.51999999999995,5.0,11.4,1.2,74.83999999999996,52.11999999999999,0.6,9.6,8.0,0.4,0.0,4.2,4.0,53.65999999999999,12.4,3.8,5.2,3.4,79.58000000000001,1.4,5.0,3.2,60.66000000000001,55.73999999999999,3.0,12.4,9.8,1.6,0.2,1.0,-1.4
653,0,53.34813664596273,14.340372670807453,5.532505175983437,5.313664596273292,3.494202898550725,80.51238095238097,1.8722567287784682,4.940372670807454,2.4113871635610766,74.82322981366462,52.39960662525881,3.281780538302278,11.981987577639751,13.086749482401657,1.3095238095238095,0.04244306418219462,11,52.51463002114165,12.04693446088795,4.575052854122622,4.803382663847781,2.6684989429175476,78.77357293868921,1.4397463002114164,4.66046511627907,1.9488372093023256,75.33209302325582,51.92587737843554,2.978012684989429,13.655391120507401,13.533192389006343,1.6528541226215645,0.08245243128964058,82,77,80,77,76,73,81,77,77,81,81,82,77,75,80,78,74,79,78,75,77,75,47.939999999999976,12.0,2.8,7.0,2.2,82.98000000000003,2.2,4.6,2.8,54.120000000000026,41.89999999999999,3.2,10.0,11.2,1.0,0.0,1.0,-0.6,49.720000000000056,9.2,3.6,3.6,2.0,78.12000000000003,1.0,3.0,2.8,59.739999999999995,46.719999999999985,4.8,10.6,13.4,1.8,0.0,0.8,-2.0
654,8,47.37896865520728,13.551263902932256,4.625783619817999,5.771284125379172,3.154196157735086,73.1468958543984,1.2276036400404449,4.877553083923155,2.3940343781597577,74.91929221435795,49.18480283114256,2.7508594539939333,14.08422649140546,13.920020222446917,1.5583417593528819,0.10050556117290192,17,50.51509178743961,12.120000000000001,4.480772946859903,5.035748792270532,2.603478260869565,77.76548792270532,1.2794202898550726,4.64328502415459,2.81487922705314,72.18266666666668,51.60535265700483,3.360386473429952,15.359227053140097,13.46048309178744,1.9418357487922708,0.05256038647342995,67,74,76,72,74,57,79,77,76,72,73,65,83,81,81,79,80,79,74,77,80,73,48.75999999999998,15.8,6.0,6.8,3.0,80.81999999999998,2.8,4.2,3.6,68.60000000000001,48.160000000000004,4.2,14.6,9.0,1.6,0.0,3.0,1.6,36.999999999999986,10.2,4.0,4.2,2.0,72.56000000000002,1.4,4.8,3.0,58.05999999999997,51.699999999999974,3.0,14.6,12.8,2.2,0.0,1.8,0.2
655,10,47.149373814041745,11.797343453510438,4.207210626185958,4.658444022770398,2.93168880455408,72.2755218216319,0.9294117647058824,4.388994307400379,1.749146110056926,73.82064516129033,45.62189753320683,3.668311195445921,13.075901328273245,13.33586337760911,1.6379506641366226,0.059962049335863375,21,45.75343873517787,11.976877470355731,4.012252964426878,5.13102766798419,2.8335968379446643,73.3258695652174,1.1551383399209487,4.06501976284585,2.1521739130434785,76.25187747035572,49.58393280632412,3.677667984189724,15.664624505928854,12.855928853754943,2.0687747035573123,0.09229249011857707,77,70,67,77,58,74,73,71,77,69,79,69,74,73,67,75,79,79,79,78,79,67,41.19999999999999,12.0,4.4,4.8,2.8,80.52000000000001,0.4,3.6,2.0,61.05999999999997,42.640000000000015,4.0,11.4,10.2,1.6,0.2,1.8,0.2,46.519999999999996,11.0,3.8,5.4,1.8,73.34000000000006,0.8,3.8,2.8,61.720000000000006,48.75999999999995,2.8,10.4,9.2,1.4,0.0,0.8,-1.6
656,14,50.46822500000002,13.458250000000001,4.8975,5.485,3.07575,75.07985000000002,1.5050000000000001,4.999500000000001,2.3592500000000003,74.87325000000001,50.339175000000004,3.0252499999999998,14.201500000000003,14.07,1.7167500000000002,0.081,3,49.531774999999996,11.9905,4.3425,4.862500000000001,2.7855000000000003,74.5334,1.30625,4.503000000000001,2.26325,75.07387499999996,49.662450000000014,3.341,14.667250000000001,13.63875,1.8757500000000003,0.0765,61,68,75,73,73,73,75,72,70,72,70,73,71,68,74,73,69,70,69,75,73,67,41.6,9.6,4.2,3.2,2.2,78.12,1.0,2.2,1.4,59.92,45.2,4.8,11.0,11.4,1.4,0.0,2.0,0.0,39.440000000000005,11.6,3.6,5.0,3.0,72.91999999999999,0.6,3.4,2.0,64.0,45.71999999999999,3.6,11.0,8.2,1.4,0.0,0.4,-1.2
657,2,45.82525691699604,13.365415019762846,5.337747035573123,4.837351778656126,3.1903162055335974,71.25260869565219,1.5664031620553363,4.95494071146245,1.9954545454545456,73.43300395256917,51.26067193675888,2.936166007905139,15.3903162055336,15.204347826086956,1.8881422924901186,0.026482213438735178,18,45.26294117647059,11.63529411764706,4.405882352941177,4.452941176470588,2.7764705882352945,71.84176470588235,1.4294117647058824,5.2,2.0176470588235293,73.9729411764706,45.54588235294117,3.947058823529412,14.129411764705884,13.082352941176472,1.6235294117647059,0.10000000000000002,82,76,76,78,77,77,78,79,82,64,76,79,74,78,80,74,76,63,78,78,78,81,54.32000000000001,12.8,5.0,5.4,2.4,80.42000000000004,1.8,5.0,1.4,69.76000000000002,49.05999999999999,4.4,17.0,9.2,1.4,0.0,2.6,1.2,46.27999999999999,12.0,3.4,6.0,2.6,76.04000000000003,1.0,4.0,1.4,68.72000000000001,57.44,4.0,11.0,11.0,1.2,0.0,0.4,-2.6
658,3,50.46822500000002,13.458250000000001,4.8975,5.485,3.07575,75.07985000000002,1.5050000000000001,4.999500000000001,2.3592500000000003,74.87325000000001,50.339175000000004,3.0252499999999998,14.201500000000003,14.07,1.7167500000000002,0.081,4,58.76368992248062,14.34201550387597,5.117002583979328,5.684857881136952,3.54015503875969,79.77772609819121,2.0625322997416022,5.152248062015504,2.748423772609819,76.28820671834626,49.78642894056848,2.5775710594315244,12.654780361757107,13.055503875968995,1.6159173126614987,0.023049095607235143,73,71,68,74,73,69,73,70,75,69,67,81,77,80,69,78,79,82,72,79,78,82,45.82,11.4,3.4,4.6,3.4,74.08000000000001,1.2,5.2,2.2,73.56,50.5,3.0,9.2,13.2,1.0,0.0,1.0,-0.4,55.239999999999974,15.2,6.2,4.6,4.4,84.84000000000006,3.0,5.2,2.4,63.039999999999985,44.859999999999985,2.6,8.4,12.4,1.6,0.0,2.0,-0.2
659,5,50.505066798614564,12.228005937654627,4.354082137555666,5.025828797624937,2.8480950024740226,73.17241959426028,1.592577931716972,5.127857496288966,2.837209302325582,78.3275309252845,47.13215239980208,3.012568035625928,16.08174171202375,15.324492825333994,2.530925284512618,0.0913409203364671,0,54.43540372670806,11.932919254658385,4.415734989648033,4.540372670807454,2.9768115942028985,80.27809523809525,1.5604554865424434,4.3329192546583855,2.2169772256728777,75.42863354037269,51.53414078674949,3.4128364389233954,12.14223602484472,12.418426501035196,1.4523809523809526,0.026915113871635612,74,77,77,64,75,75,75,60,73,78,79,82,77,80,77,76,77,81,73,77,81,81,51.41999999999996,16.6,5.2,7.4,4.0,72.41999999999999,3.0,5.4,2.4,57.019999999999996,55.91999999999997,3.4,12.4,12.6,0.6,0.2,1.6,0.6,60.52,15.4,5.8,5.8,3.8,85.69999999999997,1.2,6.4,0.8,61.219999999999985,52.539999999999964,3.0,10.2,11.6,1.2,0.0,1.4,0.6
660,19,53.00237843551799,14.805391120507402,5.59862579281184,5.915750528541227,3.2910147991543344,75.45309725158562,1.66723044397463,5.538689217758986,2.53784355179704,76.03969344608879,50.279154334038054,2.739957716701903,14.734143763213531,13.611416490486258,1.5394291754756873,0.16247357293868922,14,49.531774999999996,11.9905,4.3425,4.862500000000001,2.7855000000000003,74.5334,1.30625,4.503000000000001,2.26325,75.07387499999996,49.662450000000014,3.341,14.667250000000001,13.63875,1.8757500000000003,0.0765,84,78,83,77,78,79,81,82,80,81,82,61,71,72,73,75,68,72,70,71,73,72,70.36,16.0,6.0,6.4,3.6,87.77999999999997,2.2,7.0,1.6,54.000000000000036,54.720000000000006,1.4,9.2,9.8,1.0,0.0,2.6,1.0,46.4,15.4,5.6,7.0,2.8,78.55999999999999,2.2,4.6,1.6,62.080000000000005,52.83999999999999,2.4,12.6,14.2,2.0,0.0,2.0,0.0
661,12,51.24197979797981,14.187474747474749,5.342626262626262,5.363232323232324,3.481616161616162,78.30545454545454,1.436767676767677,4.412929292929293,2.4080808080808085,74.2101818181818,50.94472727272728,3.4246464646464645,14.326060606060608,15.276363636363637,1.817777777777778,0.017777777777777778,6,47.872103386809265,12.09126559714795,4.379857397504456,4.918538324420678,2.7928698752228165,73.82477718360072,1.151336898395722,4.712121212121213,2.016221033868093,78.88169340463458,53.351871657754,4.046167557932264,15.684670231729056,13.991265597147951,2.038146167557932,0.06024955436720143,83,73,80,67,79,78,80,78,76,82,69,74,75,77,65,75,75,70,74,77,76,70,53.88000000000003,18.8,5.4,9.6,3.8,81.23999999999998,3.0,6.2,1.4,59.61999999999997,50.10000000000001,4.4,11.4,9.6,2.2,0.0,1.8,0.4,39.52,8.4,3.0,4.4,1.0,71.33999999999996,1.2,2.6,2.4,52.799999999999976,44.98000000000004,5.2,10.8,11.6,2.2,0.2,0.8,-2.0
662,17,50.632106280193234,13.98,4.553526570048309,5.9256038647343,3.5008695652173913,77.83803864734298,1.2698550724637683,4.877487922705314,2.520386473429952,71.98066666666666,50.64967149758454,3.006763285024155,14.80647342995169,13.798454106280193,1.7021256038647345,0.07980676328502416,10,45.73573055028463,10.836432637571157,3.8582542694497155,3.898481973434535,3.0796963946869074,71.32855787476282,0.9823529411764707,3.879506641366224,1.5259962049335865,74.48258064516128,45.96111954459204,3.8203036053130934,13.744781783681214,13.108159392789375,1.5223908918406073,0.0633776091081594,83,72,81,81,77,74,79,78,80,86,80,77,70,67,77,75,73,71,74,77,79,71,46.38000000000001,11.8,3.4,5.8,2.6,74.08000000000004,1.8,3.4,1.6,65.13999999999999,47.57999999999998,2.6,13.4,12.2,2.2,0.2,0.6,-1.8,46.71999999999997,11.6,4.6,4.2,2.8,79.56000000000002,0.4,4.4,1.2,72.85999999999999,44.32000000000001,2.0,10.4,14.4,2.4,0.0,0.6,-1.8
